kavatha.bahade2701,AMRAVATI-ANJANGAON-GP-kavatha bahade
khalkhoni2701,AMRAVATI-ANJANGAON-GP-khalkhoni
kharatlegaon2701,AMRAVATI-ANJANGAON-GP-kharatlegaon
kholapur2701,AMRAVATI-ANJANGAON-GP-kholapur
kumagad2701,AMRAVATI-ANJANGAON-GP-kumagad
kundkhurd2701,AMRAVATI-ANJANGAON-GP-kundkhurd
marki2701,AMRAVATI-ANJANGAON-GP-marki
mhaispur2701,AMRAVATI-ANJANGAON-GP-mhaispur
nanded.kh2701,AMRAVATI-ANJANGAON-GP-nanded kh
naved2701,AMRAVATI-ANJANGAON-GP-naved
nimbha2701,AMRAVATI-ANJANGAON-GP-nimbha
nirulagangamai2701,AMRAVATI-ANJANGAON-GP-nirulagangamai
parlam2701,AMRAVATI-ANJANGAON-GP-parlam
pohrapurna2701,AMRAVATI-ANJANGAON-GP-pohrapurna
purnanagar2701,AMRAVATI-ANJANGAON-GP-purnanagar
rama2701,AMRAVATI-ANJANGAON-GP-rama
saur2701,AMRAVATI-ANJANGAON-GP-saur
sayat2701,AMRAVATI-ANJANGAON-GP-sayat
shivani2701,AMRAVATI-ANJANGAON-GP-shivani
sonarkheda2701,AMRAVATI-ANJANGAON-GP-sonarkheda
takarkheda2701,AMRAVATI-ANJANGAON-GP-takarkheda shan.
uttamsara2701,AMRAVATI-ANJANGAON-GP-uttamsara
vishir2701,AMRAVATI-ANJANGAON-GP-vishir
wakiraipur2701,AMRAVATI-ANJANGAON-GP-wakiraipur
wathada2701,AMRAVATI-ANJANGAON-GP-wathada shu
watoda.hinmatpur2701,AMRAVATI-ANJANGAON-GP-watoda hinmatpur
wayagaon2701,AMRAVATI-ANJANGAON-GP-wayagaon
aakhatwada2701,AMRAVATI-CHANDUR BAZZAR-GP-aakhatwada
asegaon.purna2701,AMRAVATI-CHANDUR BAZZAR-GP-asegaon purna
besakheda2701,AMRAVATI-CHANDUR BAZZAR-GP-besakheda
belaj2701,AMRAVATI-CHANDUR BAZZAR-GP-belaj
bellora2701,AMRAVATI-CHANDUR BAZZAR-GP-bellora
belmandali2701,AMRAVATI-CHANDUR BAZZAR-GP-belmandali
bodad2701,AMRAVATI-CHANDUR BAZZAR-GP-bodad
boral2701,AMRAVATI-CHANDUR BAZZAR-GP-boral
borgaon2701,AMRAVATI-CHANDUR BAZZAR-GP-borgaon mo
bramhanwada.pa2701,AMRAVATI-CHANDUR BAZZAR-GP-barmhanwada pa
bramhanwadi.th2701,AMRAVATI-CHANDUR BAZZAR-GP-barmhanwadi th
